Prompt ID,Skill Name,Skill Purpose,User Scenario,Prompt,Attached Files,Final Answer Link
A6,json-api-mock-generator,Generate realistic JSON API mock response files for testing and development,Developer building frontend needs realistic test data for API integration,Create JSON mock data for a user management API with 5 users including profile info,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/json-api-mock-generator
A7,csv-data-synthesizer,Generate CSV data files with proper structure and realistic sample data,Data analyst needs sample employee data for testing reports,Generate a CSV file with 20 employee records including name email department and salary,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/csv-data-synthesizer
A8,yaml-config-builder,Generate YAML configuration files for Docker Compose Kubernetes and CI/CD,DevOps engineer needs docker-compose setup for microservices,Create a docker-compose.yml for a Node.js app with PostgreSQL and Redis,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/yaml-config-builder
A9,env-file-generator,Generate environment variable files with proper structure and documentation,Developer setting up new project needs comprehensive env template,Generate .env.example file for a full-stack Node.js application,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/env-file-generator
A10,package-json-scaffolder,Generate package.json files for various Node.js project types,Developer starting new Express TypeScript API project,Create package.json for Express TypeScript API with testing and linting,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/package-json-scaffolder
A11,dockerfile-builder,Generate multi-stage Dockerfiles for various programming languages,DevOps engineer needs production Dockerfile for Node.js app,Create a multi-stage Dockerfile for Node.js with pnpm,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/dockerfile-builder
A12,sql-schema-generator,Generate SQL database schemas with tables indexes and relationships,Backend developer designing e-commerce database,Generate PostgreSQL schema for e-commerce with users products and orders,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/sql-schema-generator
A13,tsconfig-builder,Generate TypeScript configuration files for various project types,Developer setting up strict TypeScript for Node.js API,Create tsconfig.json for Node.js API with strict settings and path aliases,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/tsconfig-builder
A14,gitignore-generator,Generate .gitignore files for various technology stacks,Developer starting new Node.js project needs comprehensive gitignore,Generate .gitignore for Node.js TypeScript project with common IDE files,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/gitignore-generator
A15,xml-sitemap-generator,Generate XML sitemaps for SEO with proper structure and metadata,SEO specialist needs sitemap for e-commerce website,Create XML sitemap for e-commerce site with products and categories,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/xml-sitemap-generator
A16,openapi-spec-builder,Generate OpenAPI 3.x specifications for REST API documentation,Backend developer documenting user management API,Generate OpenAPI spec for user management API with CRUD operations,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/openapi-spec-builder
A17,graphql-schema-generator,Generate GraphQL SDL schemas with types queries and mutations,Backend developer designing e-commerce GraphQL API,Create GraphQL schema for e-commerce with products orders and users,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/graphql-schema-generator
A18,nginx-config-builder,Generate NGINX configuration files for reverse proxy and load balancing,DevOps engineer setting up production NGINX,Create NGINX config for reverse proxy with SSL and rate limiting,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/nginx-config-builder
A19,makefile-generator,Generate Makefiles for build automation in various project types,Developer needs Makefile for Node.js project automation,Generate Makefile for Node.js with build test lint and docker commands,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/makefile-generator
A20,jest-config-generator,Generate Jest configuration files for JavaScript/TypeScript testing,Developer setting up testing for React TypeScript project,Create Jest config for React TypeScript with coverage thresholds,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/jest-config-generator
A21,react-component-generator,Generate React TypeScript components with proper patterns,Frontend developer needs reusable Button component,Create React TypeScript Button component with variants and loading state,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/react-component-generator
A22,prisma-schema-builder,Generate Prisma schema files for database modeling,Backend developer modeling blog platform database,Generate Prisma schema for blog with users posts comments and tags,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/prisma-schema-builder
A23,github-actions-workflow,Generate GitHub Actions workflow YAML for CI/CD pipelines,DevOps engineer setting up CI/CD for Node.js project,Create GitHub Actions workflow for Node.js with test build and deploy,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/github-actions-workflow
A24,terraform-module-builder,Generate Terraform HCL configurations for cloud infrastructure,Cloud engineer deploying ECS Fargate infrastructure,Generate Terraform config for AWS ECS Fargate with ALB and RDS,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/terraform-module-builder
A25,kubernetes-manifest-generator,Generate Kubernetes YAML manifests for application deployment,DevOps engineer deploying web app to Kubernetes,Create Kubernetes manifests with Deployment Service Ingress and HPA,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/kubernetes-manifest-generator
A26,eslint-config-generator,Generate ESLint configuration files for JavaScript/TypeScript projects,Developer setting up linting for React TypeScript project,Create ESLint config for React TypeScript with Prettier integration,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/eslint-config-generator
